machine,ftype,feature,group,n,median_sdr,q25,q75,frac_detectable,healthy_false_alarm,median_delta
PMSG,WINDINGS,Ia_h3,stator current,108,0.8630766418949787,0.2341951257709982,1.9054344267930028,0.4351851851851852,0.0,-0.027340914839130107
PMSG,WINDINGS,Ia_h5,stator current,108,1.2942344295616124,0.5354927005357474,4.562997852006899,0.6203703703703703,0.0,0.008604236042710356
PMSG,WINDINGS,Ia_h7,stator current,108,1.7114021597415152,0.8962125381653017,5.22553408664502,0.7129629629629629,0.0,0.01867943661561172
PMSG,WINDINGS,Ia_thd,stator current,108,0.9189103692609879,0.3261013326260488,2.8537644618603415,0.4722222222222222,0.0,0.02691289254599786
PMSG,WINDINGS,Id_2fe,dq / control,108,4.587059929281317,0.7183809428486567,17.408195835375338,0.7129629629629629,0.0,2.0371045857892405
PMSG,WINDINGS,Iq_2fe,dq / control,108,3.9557070232388467,1.2477502183624412,19.213431372170724,0.7870370370370371,0.0,0.721934684945705
PMSG,WINDINGS,Id_1fe,dq / control,108,0.4142603457565355,0.19012312418576827,0.6450760091731392,0.06481481481481481,0.2222222222222222,0.00745051808887504
PMSG,WINDINGS,Iq_1fe,dq / control,108,0.40343247410678995,0.20399498746924372,0.9379627309691366,0.17592592592592593,0.0,0.005079342403963171
PMSG,WINDINGS,Id_std,dq / control,108,0.7532601561197245,0.3645868292558829,2.981739524378558,0.4444444444444444,0.0,0.03886679282762025
PMSG,WINDINGS,Iq_std,dq / control,108,1.5166419609622521,0.3235662477782757,10.306377900113686,0.5555555555555556,0.0,0.25457402661330736
PMSG,WINDINGS,Vd_2fe,dq / control,108,5.5664338119684675,0.8796741201619825,24.139045099798743,0.7129629629629629,0.0,2.503022586994054
PMSG,WINDINGS,Vq_2fe,dq / control,108,19.760461526861466,2.383316925403045,59.363267612561486,0.8888888888888888,0.0,3.4805841635956796
PMSG,WINDINGS,Vdconv_2fe,dq / control,108,3.609138834513751,0.6260409741093055,15.464148088041881,0.6851851851851852,0.0,1.547261494273462
PMSG,WINDINGS,Vqconv_2fe,dq / control,108,4.761662112833587,1.1976195577281712,22.24840762191172,0.7592592592592593,0.0,0.6510234497048197
PMSG,WINDINGS,D2_D1,dq / control,108,28.714495474615372,3.7866633120957225,91.2848987458909,0.9074074074074074,0.0,2.6760665305933573
PMSG,WINDINGS,V2_V1,dq / control,108,51.480161371808215,8.528232417125922,160.00206932107804,0.9166666666666666,0.2222222222222222,4.868396332378101
PMSG,WINDINGS,Te_2fe,mechanical,108,0.3269652415296123,0.13870824001339532,0.5936218217478034,0.018518518518518517,0.0,-0.007193949844333935
PMSG,WINDINGS,Te_1fe,mechanical,108,0.24922361846580948,0.12733487532669485,0.45158258888795105,0.06481481481481481,0.1111111111111111,-0.009096334750615156
PMSG,WINDINGS,Te_std,mechanical,108,0.5105595719968674,0.23166096057947458,0.8044504846712995,0.14814814814814814,0.1111111111111111,0.024427865311173233
PMSG,WINDINGS,Spd_std,mechanical,108,2.0035610920453797,0.517885502156004,8.224554339532494,0.5555555555555556,0.2222222222222222,0.9205021595954586
PMSG,WINDINGS,Vdc_std,mechanical,108,1.612119128320208,0.6559169808969756,3.819911056251585,0.6296296296296297,0.0,-0.004797026571069033
SCIG,TURNS,I2_I1,stator current,108,3.9900774981084917,0.924039508015332,12.858013691286356,0.7037037037037037,0.0,0.036285583496465934
SCIG,TURNS,I0_I1,stator current,108,0.4293769895251356,0.19266420535690693,0.6632891579252781,0.16666666666666666,0.0,0.00017928335360842436
SCIG,TURNS,I_unbal_rms,stator current,108,1.124396530781859,0.48948139293668336,3.0699826569771673,0.5462962962962963,0.1111111111111111,-0.016857593814542104
SCIG,TURNS,Ia_h3,stator current,108,0.9040163075021135,0.3543950848941865,2.3743803484340167,0.4537037037037037,0.2222222222222222,-0.0034736334446803544
SCIG,TURNS,Ia_h5,stator current,108,0.5590998871486782,0.25330235284676694,0.9628131901081733,0.24074074074074073,0.0,-0.0006588521447606213
SCIG,TURNS,Ia_h7,stator current,108,0.34661400355419225,0.16417417000424225,0.6256499787434905,0.17592592592592593,0.2222222222222222,0.0014096933039966582
SCIG,TURNS,Ia_thd,stator current,108,0.41151573452438683,0.22180046570319703,0.79271837446222,0.16666666666666666,0.0,-0.005731817597331951
SCIG,TURNS,Id_2fe,dq / control,108,6.525173873384045,1.0533433744772545,19.695016520886202,0.7777777777777778,0.2222222222222222,0.01392930509063172
SCIG,TURNS,Iq_2fe,dq / control,108,1.9826374228139598,0.6377563009791902,5.427026187548254,0.6666666666666666,0.2222222222222222,0.054917769388139734
SCIG,TURNS,Id_1fe,dq / control,108,0.28820596221403,0.10827348609367832,0.5115534418828274,0.05555555555555555,0.1111111111111111,0.003997924592601637
SCIG,TURNS,Iq_1fe,dq / control,108,0.3739286989641755,0.18663493891980054,0.5817520211019065,0.046296296296296294,0.0,-0.0061953106264154584
SCIG,TURNS,Id_std,dq / control,108,0.49188501578234567,0.16671815112416385,0.8692233595311281,0.19444444444444445,0.0,0.014568975748586973
SCIG,TURNS,Iq_std,dq / control,108,0.6015273482226957,0.31282841288327456,1.0548796445735182,0.26851851851851855,0.0,-0.0001499454655284311
