alpha,e_req_pct,machine,ftype,suite,cost_rank,fixed_feature,mde_monotone_pct,mde_ci_lo,mde_ci_hi,p_meets,verdict,ds_conditional,ds_all,smallest_extent_tested_pct
0.95,12,SCIG,TURNS,drive-internal,0,Vdconv_2fe,7.399999999999999,3.8000000000000114,7.399999999999999,0.999,meets,1.0,0.7314814814814815,2.699999999999996
0.95,3,SCIG,TURNS,3 CT,1,I2_I1,7.399999999999999,7.399999999999999,12.04,0.0,fails,0.8148148148148148,0.7037037037037037,2.699999999999996
0.95,5,SCIG,TURNS,3 CT,1,I2_I1,7.399999999999999,7.399999999999999,12.04,0.0,fails,0.9166666666666666,0.7037037037037037,2.699999999999996
0.95,8,SCIG,TURNS,3 CT,1,I2_I1,7.399999999999999,7.399999999999999,12.04,0.97,meets,0.9444444444444444,0.7037037037037037,2.699999999999996
0.95,12,SCIG,TURNS,3 CT,1,I2_I1,7.399999999999999,7.399999999999999,12.04,0.97,meets,1.0,0.7037037037037037,2.699999999999996
0.95,3,SCIG,TURNS,3 CT + 3 VT,2,I2_I1,7.399999999999999,7.399999999999999,12.04,0.0,fails,0.8148148148148148,0.7037037037037037,2.699999999999996
0.95,5,SCIG,TURNS,3 CT + 3 VT,2,I2_I1,7.399999999999999,7.399999999999999,12.04,0.0,fails,0.9166666666666666,0.7037037037037037,2.699999999999996
0.95,8,SCIG,TURNS,3 CT + 3 VT,2,I2_I1,7.399999999999999,7.399999999999999,12.04,0.97,meets,0.9444444444444444,0.7037037037037037,2.699999999999996
0.95,12,SCIG,TURNS,3 CT + 3 VT,2,I2_I1,7.399999999999999,7.399999999999999,12.04,0.97,meets,1.0,0.7037037037037037,2.699999999999996
0.95,3,SCIG,TURNS,3 CT + 3 VT + drive,3,Vdconv_2fe,7.399999999999999,3.8000000000000114,7.399999999999999,0.003,fails,0.8641975308641975,0.7314814814814815,2.699999999999996
0.95,5,SCIG,TURNS,3 CT + 3 VT + drive,3,Vdconv_2fe,7.399999999999999,3.8000000000000114,7.399999999999999,0.14,uncertain,0.9305555555555556,0.7314814814814815,2.699999999999996
0.95,8,SCIG,TURNS,3 CT + 3 VT + drive,3,Vdconv_2fe,7.399999999999999,3.8000000000000114,7.399999999999999,0.997,meets,0.9722222222222222,0.7314814814814815,2.699999999999996
0.95,12,SCIG,TURNS,3 CT + 3 VT + drive,3,Vdconv_2fe,7.399999999999999,3.8000000000000114,7.399999999999999,0.997,meets,1.0,0.7314814814814815,2.699999999999996
