machine,ftype,feature,group,median_sdr,q25,q75,frac_detectable,healthy_false_alarm,median_delta
SCIG,WINDINGS,Iq_std,dq / control,7.145901983632575,0.8848408326025871,47.412540032170526,0.7314814814814815,0.0,0.1801783006801243
SCIG,WINDINGS,Vd_2fe,dq / control,41.38898414030958,12.656907908469744,150.04132229682313,1.0,0.0,1.6930110606458628
SCIG,WINDINGS,Vq_2fe,dq / control,24.799935495440153,7.348392600023639,84.1193227102118,0.9166666666666666,0.1111111111111111,1.494895279483008
SCIG,WINDINGS,PId_2fe,dq / control,74.01292050093355,24.749769896105402,262.9950848063385,1.0,0.1111111111111111,1.1883226281908241
SCIG,WINDINGS,PIq_2fe,dq / control,25.31043405205976,7.2386802077948476,67.76539349042046,0.9259259259259259,0.1111111111111111,1.3377120019805402
SCIG,WINDINGS,PId_std,dq / control,2.7371082136428444,0.5677865259011631,13.247569686873469,0.6851851851851852,0.0,0.32329067282824897
SCIG,WINDINGS,PIq_std,dq / control,7.625891325769776,1.3505794621703506,58.7153406296908,0.8055555555555556,0.1111111111111111,0.13419013036465566
SCIG,WINDINGS,D2_D1,dq / control,84.88699817652737,30.907911557106004,328.52764180373623,1.0,0.4444444444444444,0.8544023807548118
SCIG,WINDINGS,V2_V1,dq / control,48.19233280394347,16.301008145044843,201.8836354366593,1.0,0.0,1.5690943660353933
SCIG,WINDINGS,Te_2fe,mechanical,0.4388066870108543,0.20835305874204058,0.6515830394527826,0.12037037037037036,0.0,0.027933777682016783
SCIG,WINDINGS,Te_1fe,mechanical,0.34577155198441767,0.15557004907818012,0.6117434046158415,0.12962962962962962,0.0,0.02010239105766907
SCIG,WINDINGS,Te_std,mechanical,0.8139929560378745,0.3369944859694054,1.8218897915296526,0.4351851851851852,0.0,0.32270780403717114
SCIG,WINDINGS,Spd_std,mechanical,3.5698307635246804,0.8010764070736514,17.0524117068596,0.7129629629629629,0.0,1.8605934509421989
SCIG,WINDINGS,Vdc_std,mechanical,3.3557736462967056,1.2933451914012406,9.53497481858317,0.7962962962962963,0.2222222222222222,-0.013759529463583109
